#
# MI vs Delta-MI
#
#
# idx	mi	delta-mi
1	-4.171	-9.916
2	-14.79	-19.90
3	1.7205	-4.214
4	1.0823	-4.850
5	0.5698	-5.251
6	-1.592	-5.998
7	0.6969	-5.760
8	0.7174	-4.557
9	-4.069	-9.322
10	-0.626	-7.720
11	-2.634	-7.735
12	-1.584	-6.987
13	-4.379	-9.511
14	-1.364	-6.868
15	-3.047	-9.708
16	0.5890	-5.470
17	0.4600	-4.131
18	-0.032	-6.045
19	0.6146	-5.355
20	-0.126	-6.685
21	-0.533	-5.267
22	-0.107	-5.749
23	-1.059	-5.609
24	0.4396	-5.145
25	-0.482	-7.167
26	-3.413	-8.185
27	0.4393	-6.038
28	-0.622	-7.070
29	-0.804	-7.509
30	-1.111	-7.429
31	0.0316	-6.499
32	-100000.0	-100004.45418099144
33	0.4539	-5.057
34	-0.923	-9.033
35	-4.697	-9.905
36	-9.251	-14.49
37	0.4117	-5.319
38	0.9391	-4.913
39	5.7382	-0.620
40	-1.728	-7.543
41	-1.655	-7.242
42	-0.503	-8.456
43	-1.025	-7.297
44	1.9170	-4.862
45	-4.129	-10.28
46	0.2094	-5.324
47	-0.568	-6.780
48	-2.161	-10.47
49	-1.939	-7.039
50	0.0213	-6.644
51	0.2800	-5.846
52	0.0740	-5.230
53	-1.464	-8.746
54	-0.204	-6.599
55	1.4244	-5.902
56	0.3505	-6.215
57	0.2038	-6.076
58	1.5973	-5.962
59	-1.934	-8.959
60	-1.176	-7.610
61	3.6867	-3.397
62	5.1844	-2.379
63	-1.504	-9.162
64	-1.160	-7.626
65	-2.038	-7.866
66	-0.298	-5.959
67	-6.460	-12.88
68	-1.618	-7.437
69	-3.687	-9.265
70	1.2587	-6.126
71	0.0405	-5.153
72	-0.837	-9.019
73	-3.046	-9.997
74	-0.226	-6.988
75	1.0367	-6.771
76	-1.528	-6.069
77	0.2969	-6.606
78	3.0409	-3.734
79	-3.300	-10.97
80	1.7609	-5.537
81	1.2277	-5.044
82	-1.382	-7.876
83	-3.276	-8.524
84	-3.343	-8.834
85	0.5635	-4.091
86	0.5470	-5.459
87	-5.365	-11.79
88	-1.288	-8.740
89	1.2043	-4.325
90	-0.831	-5.898
91	-1.182	-8.827
92	-1.896	-8.038
93	-0.709	-8.100
94	0.6619	-6.451
95	0.1152	-7.002
96	-4.561	-11.98
97	1.1928	-4.385
98	-4.436	-13.50
99	-8.434	-13.85
100	-1.611	-8.870
101	-2.864	-9.328
102	-1.278	-8.554
103	-0.125	-6.028
104	-1.337	-8.098
105	0.2364	-6.433
106	0.0883	-6.862
107	0.2740	-6.102
108	-2.608	-7.836
109	1.2333	-5.568
110	0.1574	-6.448
111	-5.250	-12.27
112	-1.945	-7.666
113	-1.188	-7.525
114	1.2265	-6.420
115	-1.932	-8.664
116	0.4878	-5.569
117	-0.242	-7.152
118	-1.362	-8.717
119	0.3945	-6.083
120	-1.437	-8.057
121	-0.123	-5.714
122	-4.484	-9.035
123	-1.441	-7.994
124	0.2545	-6.836
125	-5.932	-13.29
126	-1.583	-8.400
127	-3.297	-9.564
128	-1.627	-8.201
129	-1.994	-9.083
130	-1.036	-8.686
131	-6.206	-11.47
132	1.4716	-5.131
133	-2.063	-6.969
134	-0.029	-6.578
135	0.1497	-6.109
136	-6.917	-14.08
137	-0.796	-5.771
138	-4.541	-11.49
139	-0.898	-8.309
140	-7.829	-14.34
141	-1.674	-6.869
142	0.8116	-5.720
143	-0.055	-6.081
144	0.1242	-6.214
145	0.6974	-4.181
146	0.0271	-7.220
147	-8.535	-14.98
148	-1.301	-9.035
149	-4.461	-10.53
150	-3.103	-8.803
151	-3.647	-8.795
152	0.6747	-5.448
153	-2.221	-9.218
154	-3.784	-12.47
155	-10.23	-14.98
156	0.6256	-6.286
157	2.0644	-6.279
158	-3.664	-8.238
159	0.3409	-5.445
160	-0.634	-7.932
161	-0.589	-10.80
162	-2.353	-7.569
163	-2.418	-7.344
164	0.0619	-6.931
165	-1.689	-6.287
166	0.3761	-6.309
167	-5.610	-10.48
168	-1.965	-9.492
169	-2.330	-7.745
170	-3.499	-7.982
171	-2.560	-7.141
172	-3.006	-8.720
173	-2.854	-7.505
174	-5.306	-12.13
175	-1.841	-8.552
176	-2.887	-7.601
177	-3.444	-9.003
178	-0.311	-6.528
179	2.3648	-4.175
180	-2.015	-9.488
181	-1.286	-8.722
182	-3.342	-9.135
183	0.7142	-6.669
184	-1.408	-7.783
185	0.4696	-5.589
186	-2.453	-6.850
187	1.9160	-5.941
188	-2.812	-8.919
189	-2.292	-10.97
190	1.0966	-6.211
191	1.3182	-5.522
192	-6.093	-13.05
193	-2.281	-9.348
194	1.3504	-4.916
195	-2.982	-9.455
196	0.3922	-5.379
197	-4.984	-9.454
198	-8.214	-12.76
199	-6.142	-10.72
200	0.6923	-6.889
201	-1.768	-6.612
202	-4.495	-8.960
203	-0.132	-6.707
204	-3.049	-7.697
205	-5.816	-12.95
206	-0.729	-7.378
207	-0.099	-7.862
208	-2.189	-7.438
209	-7.903	-12.40
210	-0.344	-6.536
211	0.4161	-4.404
212	1.0739	-6.478
213	-0.227	-6.364
214	0.9052	-5.814
215	0.5467	-5.452
216	1.5352	-5.400
217	-1.498	-6.483
218	-5.239	-11.90
219	-3.878	-10.06
220	-1.469	-8.903
221	-3.399	-8.902
222	-2.933	-7.254
223	-0.603	-7.520
224	0.3014	-7.593
225	-0.349	-6.831
226	-7.148	-11.54
227	-6.023	-10.52
228	-4.571	-9.604
229	-3.724	-9.161
230	-0.354	-6.908
231	-1.414	-6.808
232	-7.864	-13.19
233	-1.397	-9.418
234	-3.782	-8.114
235	-0.907	-7.746
236	2.4118	-6.317
237	-1.678	-7.169
238	0.0736	-6.190
239	-4.117	-8.554
240	-2.260	-8.811
241	-3.568	-10.24
242	2.0636	-6.619
243	-3.681	-8.138
244	-0.623	-5.274
245	-0.821	-7.638
246	-2.242	-7.702
247	1.2357	-6.588
248	-8.632	-14.32
249	-0.049	-7.231
250	0.1052	-7.126
251	-0.623	-8.529
252	0.7210	-6.372
253	-0.190	-6.663
254	-1.635	-6.394
255	-5.490	-12.44
