#
# MI vs Overlap vs CondJacc
#
#
# idx	self-mi	overlap	condjacc
1	5.8625	   0.0	   0.0
2	-4.171	-9.647	-10.48
3	-14.79	-17.50	-19.00
4	1.7205	-7.167	-6.619
5	1.0823	-5.771	-5.811
6	0.5698	-6.029	-6.064
7	-1.592	-5.138	-5.364
8	0.6969	-100000.0	-100000.0
9	0.7174	-5.752	-5.446
10	-4.069	-9.633	-9.028
11	-0.626	-7.561	-7.435
12	-2.634	-8.321	-8.599
13	-1.584	-7.721	-7.910
14	-4.379	-9.831	-9.610
15	-1.364	-6.942	-6.971
16	-3.047	-11.01	-11.15
17	0.5890	-6.611	-6.193
18	0.4600	-5.858	-5.290
19	-0.032	-7.827	-7.248
20	0.6146	-6.803	-6.142
21	-0.126	-9.053	-8.599
22	-0.533	-6.443	-5.552
23	-0.107	-100000.0	-7.144
24	-1.059	-6.688	-6.158
25	0.4396	-6.691	-6.176
26	-0.482	-100000.0	-7.814
27	-3.413	-7.552	-6.150
28	0.4393	-7.207	-6.660
29	-0.622	-8.264	-8.268
30	-0.804	-8.864	-8.378
31	-1.111	-8.558	-8.509
32	0.0316	-7.693	-7.677
33	-100000.0	-100000.0	-7.421
34	0.4539	-6.869	-6.231
35	-0.923	-13.70	-11.76
36	-4.697	-12.33	-10.77
37	-9.251	-14.35	-13.63
38	0.4117	-7.287	-6.643
39	0.9391	-7.701	-6.507
40	5.7382	-4.828	-3.073
41	-1.728	-8.901	-8.040
42	-1.655	-8.827	-8.690
43	-0.503	-10.42	-10.40
44	-1.025	-8.832	-8.949
45	1.9170	-100000.0	-100000.0
46	-4.129	-11.25	-10.24
47	0.2094	-7.261	-6.599
48	-0.568	-100000.0	-7.923
49	-2.161	-11.65	-11.39
50	-1.939	-100000.0	-7.357
51	0.0213	-8.519	-8.311
52	0.2800	-100000.0	-7.375
53	0.0740	-7.727	-7.202
54	-1.464	-11.64	-10.74
55	-0.204	-8.199	-8.113
56	1.4244	-100000.0	-7.123
57	0.3505	-100000.0	-7.815
58	0.2038	-100000.0	-7.542
59	1.5973	-100000.0	-7.388
60	-1.934	-12.70	-11.82
61	-1.176	-9.305	-8.626
62	3.6867	-8.322	-6.925
63	5.1844	-7.400	-5.223
64	-1.504	-11.05	-10.49
65	-1.160	-9.368	-9.534
66	-2.038	-12.32	-11.27
67	-0.298	-8.250	-7.123
68	-6.460	-13.78	-11.69
69	-1.618	-9.613	-8.515
70	-3.687	-12.34	-11.18
71	1.2587	-8.179	-5.858
72	0.0405	-8.497	-6.858
73	-0.837	-11.05	-11.08
74	-3.046	-11.90	-11.31
75	-0.226	-9.488	-8.371
76	1.0367	-9.138	-7.857
77	-1.528	-9.009	-7.557
78	0.2969	-8.790	-8.361
79	3.0409	-8.010	-6.522
80	-3.300	-9.585	-10.26
81	1.7609	-8.848	-6.917
82	1.2277	-10.21	-7.824
83	-1.382	-10.23	-9.828
84	-3.276	-14.47	-10.95
85	-3.343	-12.37	-11.02
86	0.5635	-7.931	-6.085
87	0.5470	-8.487	-7.086
88	-5.365	-14.10	-13.99
89	-1.288	-11.03	-9.771
90	1.2043	-8.433	-6.698
91	-0.831	-9.112	-7.539
92	-1.182	-12.07	-9.998
93	-1.896	-10.99	-8.952
94	-0.709	-11.96	-10.03
95	0.6619	-9.098	-8.057
96	0.1152	-9.579	-8.700
97	-4.561	-15.20	-12.58
98	1.1928	-8.638	-7.059
99	-4.436	-16.79	-17.96
100	-8.434	-13.98	-13.18
101	-1.611	-11.40	-10.41
102	-2.864	-10.13	-8.597
103	-1.278	-10.92	-9.650
104	-0.125	-9.194	-7.726
105	-1.337	-10.38	-9.589
106	0.2364	-10.03	-8.646
107	0.0883	-14.10	-11.10
108	0.2740	-9.682	-8.044
109	-2.608	-11.41	-9.761
110	1.2333	-8.492	-7.227
111	0.1574	-9.723	-8.137
112	-5.250	-15.79	-13.14
113	-1.945	-9.826	-8.621
114	-1.188	-10.44	-8.727
115	1.2265	-9.143	-7.752
116	-1.932	-10.18	-9.425
117	0.4878	-9.904	-8.630
118	-0.242	-9.665	-9.237
119	-1.362	-12.63	-10.34
120	0.3945	-10.31	-8.558
121	-1.437	-10.48	-9.486
122	-0.123	-8.954	-7.429
123	-4.484	-11.70	-10.04
124	-1.441	-10.94	-9.828
125	0.2545	-9.351	-7.682
126	-5.932	-13.71	-14.47
127	-1.583	-12.71	-11.17
128	-3.297	-11.65	-10.41
129	-1.627	-10.61	-9.524
130	-1.994	-16.21	-11.11
131	-1.036	-11.86	-10.14
132	-6.206	-13.98	-11.73
133	1.4716	-8.848	-7.538
134	-2.063	-10.25	-8.913
135	-0.029	-10.23	-8.636
136	0.1497	-9.065	-7.481
137	-6.917	-14.33	-12.67
138	-0.796	-9.800	-8.034
139	-4.541	-16.20	-12.88
140	-0.898	-13.10	-11.03
141	-7.829	-15.20	-16.49
142	-1.674	-9.959	-8.517
143	0.8116	-9.262	-8.180
144	-0.055	-9.087	-7.185
145	0.1242	-8.764	-7.752
146	0.6974	-8.649	-6.469
147	0.0271	-9.567	-9.312
148	-8.535	-15.79	-16.37
149	-1.301	-11.54	-9.964
150	-4.461	-14.20	-12.66
151	-3.103	-12.98	-10.61
152	-3.647	-12.27	-10.35
153	0.6747	-9.432	-8.218
154	-2.221	-11.33	-10.02
155	-3.784	-13.54	-12.25
156	-10.23	-14.62	-15.43
157	0.6256	-10.35	-8.898
158	2.0644	-9.706	-8.099
159	-3.664	-11.77	-9.441
160	0.3409	-9.273	-7.043
161	-0.634	-11.70	-9.902
162	-0.589	-14.47	-12.30
163	-2.353	-11.25	-9.187
164	-2.418	-10.35	-8.909
165	0.0619	-10.53	-8.690
166	-1.689	-9.935	-8.329
167	0.3761	-10.85	-9.729
168	-5.610	-14.61	-11.84
169	-1.965	-12.61	-10.58
170	-2.330	-11.00	-9.147
171	-3.499	-10.48	-8.878
172	-2.560	-11.41	-9.128
173	-3.006	-13.26	-11.51
174	-2.854	-10.24	-9.052
175	-5.306	-14.78	-15.96
176	-1.841	-11.38	-10.54
177	-2.887	-11.29	-9.357
178	-3.444	-13.20	-11.51
179	-0.311	-10.90	-9.333
180	2.3648	-9.366	-6.578
181	-2.015	-11.31	-10.74
182	-1.286	-11.50	-9.999
183	-3.342	-13.62	-11.57
184	0.7142	-10.27	-8.796
185	-1.408	-11.26	-9.635
186	0.4696	-9.597	-8.033
187	-2.453	-10.67	-8.670
188	1.9160	-9.805	-8.054
189	-2.812	-13.09	-10.80
190	-2.292	-16.79	-12.71
191	1.0966	-10.79	-8.659
192	1.3182	-9.872	-8.616
193	-6.093	-17.78	-20.13
194	-2.281	-12.20	-11.40
195	1.3504	-9.160	-7.131
196	-2.982	-11.85	-11.29
197	0.3922	-9.725	-7.859
198	-4.984	-12.08	-11.41
199	-8.214	-14.32	-14.27
200	-6.142	-14.08	-11.45
201	0.6923	-10.81	-9.578
202	-1.768	-10.32	-8.939
203	-4.495	-11.59	-9.489
204	-0.132	-10.21	-8.613
205	-3.049	-11.83	-9.564
206	-5.816	-13.88	-12.49
207	-0.729	-10.47	-9.036
208	-0.099	-11.14	-9.738
209	-2.189	-11.74	-10.37
210	-7.903	-14.08	-13.35
211	-0.344	-10.85	-9.237
212	0.4161	-9.446	-7.206
213	1.0739	-10.99	-9.180
214	-0.227	-10.26	-8.668
215	0.9052	-10.04	-8.212
216	0.5467	-9.553	-8.142
217	1.5352	-9.891	-7.940
218	-1.498	-10.43	-8.596
219	-5.239	-14.61	-15.74
220	-3.878	-13.61	-11.97
221	-1.469	-12.20	-10.07
222	-3.399	-13.39	-12.24
223	-2.933	-11.34	-8.955
224	-0.603	-13.20	-10.13
225	0.3014	-12.58	-9.932
226	-0.349	-10.95	-10.52
227	-7.148	-14.61	-11.81
228	-6.023	-17.78	-11.15
229	-4.571	-13.61	-10.85
230	-3.724	-12.57	-10.43
231	-0.354	-10.30	-8.632
232	-1.414	-11.72	-9.834
233	-7.864	-14.78	-12.81
234	-1.397	-12.39	-12.42
235	-3.782	-10.90	-9.497
236	-0.907	-11.90	-11.02
237	2.4118	-10.73	-9.069
238	-1.678	-11.48	-9.540
239	0.0736	-10.36	-8.481
240	-4.117	-12.36	-9.906
241	-2.260	-11.26	-9.620
242	-3.568	-14.98	-12.00
243	2.0636	-16.20	-11.14
244	-3.681	-12.58	-9.665
245	-0.623	-10.67	-7.783
246	-0.821	-11.83	-9.545
247	-2.242	-11.61	-10.24
248	1.2357	-10.71	-9.185
249	-8.632	-15.78	-16.04
250	-0.049	-10.48	-8.412
251	0.1052	-11.20	-9.542
252	-0.623	-13.39	-11.49
253	0.7210	-10.43	-8.560
254	-0.190	-11.23	-9.065
255	-1.635	-11.61	-9.060
256	-5.490	-14.97	-15.74
257	-1.120	-12.36	-10.14
258	-1.181	-11.44	-9.620
259	-0.625	-11.93	-9.543
260	-4.622	-11.83	-11.09
261	-0.471	-11.32	-10.25
262	0.7197	-10.91	-9.089
263	0.0113	-10.88	-9.449
264	-0.212	-10.55	-8.953
265	-8.936	-15.78	-16.49
266	-4.251	-12.05	-10.17
267	-3.371	-13.61	-10.90
268	-2.672	-12.23	-9.427
269	-3.967	-15.20	-11.39
270	1.6409	-10.61	-9.372
271	1.2868	-9.963	-7.971
272	-2.477	-12.32	-10.43
273	1.8733	-10.67	-9.069
274	-8.221	-14.46	-13.07
275	-3.553	-14.61	-14.84
276	-1.609	-15.46	-11.12
277	-3.427	-15.46	-11.91
278	-1.123	-10.83	-9.046
279	-8.388	-17.78	-20.13
280	0.2227	-10.86	-9.891
281	-0.062	-10.46	-8.748
282	-0.532	-11.21	-9.661
283	-3.735	-14.46	-13.52
284	-0.837	-12.53	-9.377
285	1.2996	-10.68	-9.144
286	0.6195	-14.08	-10.92
287	-1.444	-10.94	-9.378
288	1.1207	-10.41	-8.696
289	-0.388	-11.57	-9.845
290	-0.196	-11.41	-10.29
291	-0.788	-13.97	-10.63
292	-4.455	-13.69	-10.48
293	-4.189	-12.17	-9.581
294	2.0082	-12.69	-9.205
295	-3.725	-15.78	-11.35
296	2.1629	-10.42	-8.541
297	-2.322	-15.78	-11.10
298	-1.001	-11.65	-10.50
299	-6.090	-15.78	-17.22
300	-0.749	-10.53	-7.716
301	0.1353	-12.46	-10.65
302	-2.338	-11.78	-10.04
303	-1.962	-12.88	-10.40
304	-8.123	-14.97	-13.42
305	0.5481	-15.46	-11.12
306	-0.557	-11.43	-9.978
307	-3.810	-14.61	-11.58
308	0.1080	-11.15	-10.19
309	-2.374	-12.42	-10.23
310	1.1709	-10.94	-9.527
311	-1.397	-14.32	-11.11
312	-1.517	-13.97	-10.77
313	-0.138	-10.72	-9.092
314	-2.387	-12.29	-9.567
315	-5.943	-13.69	-12.69
316	-0.791	-11.15	-10.04
317	-2.521	-13.26	-11.11
318	0.8399	-10.70	-9.353
319	-7.472	-14.97	-14.35
320	-6.683	-16.20	-17.43
321	-2.503	-12.78	-12.94
322	0.6027	-11.26	-9.410
323	1.1383	-11.42	-10.20
324	-5.202	-14.61	-11.58
325	-7.752	-17.78	-20.13
326	1.2099	-10.52	-9.140
327	-1.971	-13.87	-11.13
328	-3.512	-11.37	-9.730
329	2.2392	-11.87	-9.452
330	-7.873	-13.08	-11.69
331	-4.004	-12.87	-12.71
332	-1.884	-11.15	-9.320
333	-1.248	-15.19	-11.12
334	-0.326	-12.87	-10.01
335	-3.312	-11.65	-10.06
